order_code,shop,kho_ban,kenh_ban_hang,ngay_dat_hang,so_luong,ten_san_pham,gia_tri_thuoc_tinh_1,gia_san_pham,ma_san_pham
585693486393493147,Tẩy lồng máy giặt Blue,Kho Hà Nội,tiktokshop,2026-08-23T22:33:40+07:00,1,"[MUA NHIỀU GIẢM SÂU] Bột Tẩy Lồng Máy Giặt Blue 150g - Làm Sạch Sâu, Khử Mùi Diệt Khuẩn Cho Máy Giặt Cửa Ngang & Cửa Đứng.",Combo 3 Túi (Bán chạy nhất - Đã giảm 35%),58999,SP000442
585693471744362426,Nước Giặt Xả Blue,Kho Hà Nội,tiktokshop,2026-08-23T22:33:04+07:00,1,[MUA NHIỀU GIẢM NHIỀU] Nước Lau Kính Đa Năng Blue 560ml Siêu Sạch Chống Bám Bụi Đánh Bay Vết Bẩn Trên Tất Cả Các Bề Mặt Kính Không Để Lại Vệt Sọc,Combo 2 Chai (Bán chạy nhất),64999,SP001214
585693483641963800,Tẩy lồng máy giặt Blue,Miền Nam - Kho mặc định,tiktokshop,2026-08-23T22:32:08+07:00,1,"[MUA NHIỀU GIẢM SÂU] Bột Tẩy Lồng Máy Giặt Blue 150g - Làm Sạch Sâu, Khử Mùi Diệt Khuẩn Cho Máy Giặt Cửa Ngang & Cửa Đứng.",Combo 5 Túi (Tiết kiệm nhất - Khuyên dùng),88999,SP000443
585693331924289376,Tẩy lồng máy giặt Blue,Kho Hà Nội,tiktokshop,2026-08-23T22:27:00+07:00,1,"[MUA NHIỀU GIẢM SÂU] Bột Tẩy Lồng Máy Giặt Blue 150g - Làm Sạch Sâu, Khử Mùi Diệt Khuẩn Cho Máy Giặt Cửa Ngang & Cửa Đứng.",Combo 3 Túi (Bán chạy nhất - Đã giảm 35%),58999,SP000442
585693402997294928,CLEVY VIỆT NAM,Miền Nam - Kho mặc định,tiktokshop,2026-08-23T22:27:00+07:00,1,"Móc Treo Đa Năng Xoay 360° 6 Nhánh, Treo Đồ Lót, Khăn, Mũ Lưỡi Trai Và Phụ Kiện - MT01",2 cái (Ngẫu nhiên màu),29280,SKU_MT_2
585693340326725009,Tẩy lồng máy giặt Blue,Kho Hà Nội,tiktokshop,2026-08-23T22:25:43+07:00,1,"[MUA NHIỀU GIẢM SÂU] Bột Tẩy Lồng Máy Giặt Blue 150g - Làm Sạch Sâu, Khử Mùi Diệt Khuẩn Cho Máy Giặt Cửa Ngang & Cửa Đứng.",Combo 3 Túi (Bán chạy nhất - Đã giảm 35%),58999,SP000442
585693384126006510,Tẩy lồng máy giặt Blue,Miền Nam - Kho mặc định,tiktokshop,2026-08-23T22:24:57+07:00,1,"[MUA NHIỀU GIẢM SÂU] Bột Tẩy Lồng Máy Giặt Blue 150g - Làm Sạch Sâu, Khử Mùi Diệt Khuẩn Cho Máy Giặt Cửa Ngang & Cửa Đứng.",Combo 2 Túi (Rẻ hơn mua lẻ 22%),45999,TP32743
585693326467762175,CLEVY VIỆT NAM,Miền Nam - Kho mặc định,tiktokshop,2026-08-23T22:24:29+07:00,1,"Móc Treo Đa Năng Xoay 360° 6 Nhánh, Treo Đồ Lót, Khăn, Mũ Lưỡi Trai Và Phụ Kiện - MT01",2 cái (Ngẫu nhiên màu),29280,SKU_MT_2
585693296785524617,Tẩy lồng máy giặt Blue,Miền Nam - Kho mặc định,tiktokshop,2026-08-23T22:23:51+07:00,1,"[MUA NHIỀU GIẢM SÂU] Bột Tẩy Lồng Máy Giặt Blue 150g - Làm Sạch Sâu, Khử Mùi Diệt Khuẩn Cho Máy Giặt Cửa Ngang & Cửa Đứng.",Combo 2 Túi (Rẻ hơn mua lẻ 22%),45999,TP32743
585693309679732647,Tẩy lồng máy giặt Blue,Kho Hà Nội,tiktokshop,2026-08-23T22:23:11+07:00,1,"[MUA NHIỀU GIẢM SÂU] Bột Tẩy Lồng Máy Giặt Blue 150g - Làm Sạch Sâu, Khử Mùi Diệt Khuẩn Cho Máy Giặt Cửa Ngang & Cửa Đứng.",1 TÚI (Không áp dụng Voucher Shop),29000,
585693317058823212,Nước Giặt Xả Blue,Miền Nam - Kho mặc định,tiktokshop,2026-08-23T22:17:16+07:00,1,"[BÁN CHẠY NHẤT] Bột Tẩy Lồng Máy Siêu Sạch Smile Mom Túi 450g - Không cần gọi thợ, Tăng tuổi thọ máy giặt gia đình",Combo 2 Túi (Rẻ Nhất),73999,TP30671_01
585693229865142182,Tẩy lồng máy giặt Blue,Miền Nam - Kho mặc định,tiktokshop,2026-08-23T22:14:55+07:00,1,"[MUA NHIỀU GIẢM SÂU] Bột Tẩy Lồng Máy Giặt Blue 150g - Làm Sạch Sâu, Khử Mùi Diệt Khuẩn Cho Máy Giặt Cửa Ngang & Cửa Đứng.",Combo 3 Túi (Bán chạy nhất - Đã giảm 35%),58999,SP000442
585693190866110091,Tẩy lồng máy giặt Blue,Kho Hà Nội,tiktokshop,2026-08-23T22:14:45+07:00,1,"[MUA NHIỀU GIẢM SÂU] Bột Tẩy Lồng Máy Giặt Blue 150g - Làm Sạch Sâu, Khử Mùi Diệt Khuẩn Cho Máy Giặt Cửa Ngang & Cửa Đứng.",1 TÚI (Không áp dụng Voucher Shop),29000,
