
----- BẢNG STATUS lúc 14:58:02 15/05/2026 -----
Tên file                         | Trang   | Hệ thống   | Mã khách hàng | PO             | Đơn giá | Trạng thái 
air_waybill_WH6_HN_15052026.pdf  | 21/41   | JIT-CHOICE | WH6_HN        | 260515F44SRS74 |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 22/41   | JIT-CHOICE | WH6_HN        | 260515F49UUJDC |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 23/41   | JIT-CHOICE | WH6_HN        | 260515F4EJH0J2 |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 24/41   | JIT-CHOICE | WH6_HN        | 260515F4KD1WGC |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 25/41   | JIT-CHOICE | WH6_HN        | 260515F4XPGJB8 |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 26/41   | JIT-CHOICE | WH6_HN        | 260515F52JDUQC |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 27/41   | JIT-CHOICE | WH6_HN        | 260515F5JT6RJP |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 28/41   | JIT-CHOICE | WH6_HN        | 260515F5Q4EJ5D |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 29/41   | JIT-CHOICE | WH6_HN        | 260515F6GVFA53 |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 30/41   | JIT-CHOICE | WH6_HN        | 260515F7FD1TA5 |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 31/41   | JIT-CHOICE | WH6_HN        | 260515F82USB5E |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 32/41   | JIT-CHOICE | WH6_HN        | 260515F8538W3S |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 33/41   | JIT-CHOICE | WH6_HN        | 260515F9FSVPG9 |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 34/41   | JIT-CHOICE | WH6_HN        | 260515F9KMWD17 |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 35/41   | JIT-CHOICE | WH6_HN        | 260515FA95G9BS |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 36/41   | JIT-CHOICE | WH6_HN        | 260515FAPKMRXY |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 37/41   | JIT-CHOICE | WH6_HN        | 260515FC66N9QK |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 38/41   | JIT-CHOICE | WH6_HN        | 260515FCGBS9GR |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 39/41   | JIT-CHOICE | WH6_HN        | 260515FD5TE9J0 |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 40/41   | JIT-CHOICE | WH6_HN        | 260515FE0QM2X1 |         | ✅Hoàn Thành
air_waybill_WH6_HN_15052026.pdf  | 41/41   | JIT-CHOICE | WH6_HN        | 260515FE1TWYM3 |         | ✅Hoàn Thành
----- Kết thúc bảng -----

----- BẢNG STATUS lúc 15:22:29 15/05/2026 -----
Tên file                         | Trang | Hệ thống | Mã khách hàng | PO         | Đơn giá         | Trạng thái  
WINT BÌNH DƯƠNG PO4189471772.pdf | 1/2   | Winmart  | MN_MT_WIN1355 | 4189471772 | Có 2 mã sai giá | ⚠️Hoàn Thành
----- Kết thúc bảng -----

----- BẢNG STATUS lúc 15:52:15 15/05/2026 -----
Tên file                     | Trang | Hệ thống | Mã khách hàng | PO         | Đơn giá  | Trạng thái 
WIN ĐÀ NẴNG PO4901297471.pdf | 1/1   | Winmart  | MN_MT_WIN1326 | 4901297471 | Đúng giá | ✅Hoàn Thành
----- Kết thúc bảng -----

----- BẢNG STATUS lúc 15:53:51 15/05/2026 -----
Tên file                        | Trang | Hệ thống | Mã khách hàng | PO                 | Đơn giá  | Trạng thái 
LOTTE GÒ VẤP_20260515153543.pdf | 1/1   | Lotte    | MN_MT_LOT1012 | 260515-01012-00161 | Đúng giá | ✅Hoàn Thành
----- Kết thúc bảng -----

----- BẢNG STATUS lúc 16:36:15 15/05/2026 -----
